BVP,TEMP,ACC_x,ACC_y,ACC_z
-0.000274,35.913887,54.000000,-20.000000,20.000000
-0.000366,38.516716,54.000000,-20.000000,22.000000
-0.000680,40.138844,55.000000,-20.000000,23.000000
-0.000620,40.818672,50.000000,-20.000000,22.000000
-0.001491,40.674828,49.000000,-20.000000,22.000000
0.000652,39.888626,49.000000,-19.000000,21.000000
0.008849,38.680393,49.000000,-19.000000,21.000000
-0.029063,37.282684,45.000000,-19.000000,21.000000
-0.053526,35.913887,49.000000,-19.000000,23.000000
0.129399,34.736469,54.000000,-19.000000,24.000000
0.658384,33.894070,51.000000,-16.000000,22.000000
1.366973,33.455685,52.000000,-14.000000,21.000000
2.056166,33.428131,56.000000,-9.000000,21.000000
2.781866,33.762699,61.000000,-3.000000,20.000000
3.792578,34.367958,65.000000,5.000000,12.000000
5.055568,35.126602,68.000000,6.000000,9.000000
6.191866,35.913887,75.000000,13.000000,8.000000
7.146308,36.596237,78.000000,16.000000,5.000000
8.308087,37.099434,71.000000,19.000000,3.000000
10.077060,37.371296,67.000000,21.000000,2.000000
11.865895,37.398731,66.000000,21.000000,2.000000
13.126775,37.205429,64.000000,23.000000,3.000000
14.616403,36.844578,55.000000,22.000000,3.000000
17.881489,36.388042,55.000000,23.000000,5.000000
22.885530,35.913887,51.000000,24.000000,11.000000
27.547089,35.475368,50.000000,25.000000,13.000000
31.655485,35.144623,55.000000,25.000000,12.000000
37.812210,34.958973,51.000000,24.000000,14.000000
48.103725,34.931175,51.000000,27.000000,18.000000
59.802261,35.050022,53.000000,26.000000,13.000000
69.560440,35.284294,54.000000,37.000000,33.000000
79.341301,35.589161,38.000000,35.000000,20.000000
93.768074,35.913887,44.000000,41.000000,25.000000
112.764267,36.190777,64.000000,31.000000,11.000000
129.801254,36.395691,65.000000,24.000000,10.000000
143.691711,36.505962,79.000000,16.000000,11.000000
158.080933,36.515759,59.000000,24.000000,22.000000
178.112778,36.435234,56.000000,24.000000,11.000000
207.235001,36.287270,53.000000,27.000000,13.000000
228.486359,36.102547,57.000000,24.000000,19.000000
208.727463,35.913887,60.000000,20.000000,17.000000
132.891159,35.731949,65.000000,18.000000,14.000000
23.147732,35.594643,58.000000,20.000000,19.000000
-92.478668,35.517471,57.000000,22.000000,21.000000
-205.344376,35.505711,60.000000,18.000000,17.000000
-313.916840,35.554737,55.000000,19.000000,16.000000
-410.112915,35.651733,52.000000,18.000000,20.000000
-486.833527,35.778358,48.000000,21.000000,17.000000
-537.601257,35.913887,64.000000,20.000000,9.000000
-550.365906,36.019451,59.000000,17.000000,15.000000
-514.588318,36.094467,58.000000,18.000000,22.000000
-434.188690,36.131550,56.000000,30.000000,24.000000
-327.252777,36.130367,53.000000,30.000000,28.000000
-212.763748,36.096817,54.000000,19.000000,26.000000
-102.987938,36.041283,55.000000,21.000000,23.000000
-5.864961,35.976254,58.000000,22.000000,17.000000
71.535461,35.913887,58.000000,18.000000,9.000000
125.662209,35.844978,50.000000,22.000000,17.000000
158.887558,35.791294,49.000000,23.000000,16.000000
176.586014,35.757996,58.000000,22.000000,24.000000
182.793457,35.746849,58.000000,23.000000,20.000000
179.710815,35.756489,52.000000,27.000000,27.000000
169.826614,35.783043,52.000000,26.000000,23.000000
