BVP,TEMP,ACC_x,ACC_y,ACC_z
-0.000274,31.991278,-56.000000,30.000000,13.000000
-0.000366,34.309685,-54.000000,32.000000,13.000000
-0.000680,35.754505,-55.000000,33.000000,12.000000
-0.000620,36.359970,-55.000000,31.000000,14.000000
-0.001491,36.231773,-53.000000,30.000000,13.000000
0.000652,35.531445,-56.000000,29.000000,13.000000
0.008849,34.455254,-56.000000,31.000000,13.000000
-0.029063,33.210358,-55.000000,31.000000,12.000000
-0.053526,31.991278,-57.000000,31.000000,14.000000
0.129399,30.942673,-53.000000,31.000000,15.000000
0.658384,30.192488,-54.000000,30.000000,13.000000
1.366973,29.802143,-57.000000,29.000000,13.000000
2.056166,29.777681,-57.000000,32.000000,13.000000
2.781866,30.075693,-54.000000,32.000000,16.000000
3.792578,30.614721,-57.000000,30.000000,13.000000
5.055568,31.290281,-54.000000,32.000000,12.000000
6.191866,31.991278,-54.000000,34.000000,14.000000
7.146308,32.598743,-55.000000,32.000000,13.000000
8.308087,33.046631,-52.000000,34.000000,15.000000
10.077060,33.288528,-51.000000,32.000000,17.000000
11.865895,33.312820,-55.000000,32.000000,14.000000
13.126775,33.140656,-53.000000,33.000000,15.000000
14.616403,32.819424,-52.000000,31.000000,15.000000
17.881489,32.413132,-56.000000,31.000000,14.000000
22.885530,31.991278,-55.000000,32.000000,16.000000
27.547089,31.601202,-56.000000,32.000000,15.000000
31.655485,31.307096,-56.000000,33.000000,12.000000
37.812210,31.142122,-53.000000,33.000000,16.000000
48.103725,31.117565,-53.000000,34.000000,14.000000
59.802261,31.223389,-55.000000,31.000000,12.000000
69.560440,31.431759,-53.000000,34.000000,16.000000
79.341301,31.702763,-54.000000,35.000000,12.000000
93.768074,31.991278,-56.000000,31.000000,15.000000
112.764267,32.237068,-48.000000,30.000000,17.000000
129.801254,32.418781,-52.000000,33.000000,13.000000
143.691711,32.516369,-51.000000,30.000000,20.000000
158.080933,32.524754,-54.000000,32.000000,13.000000
178.112778,32.453079,-51.000000,32.000000,17.000000
207.235001,32.321762,-54.000000,32.000000,16.000000
228.486359,32.158112,-57.000000,31.000000,14.000000
208.727463,31.991278,-50.000000,31.000000,18.000000
132.891159,31.830563,-57.000000,32.000000,13.000000
23.147732,31.709560,-53.000000,31.000000,16.000000
-92.478668,31.641865,-52.000000,34.000000,16.000000
-205.344376,31.631971,-56.000000,34.000000,11.000000
-313.916840,31.675602,-53.000000,35.000000,14.000000
-410.112915,31.761250,-53.000000,35.000000,14.000000
-486.833527,31.872589,-51.000000,32.000000,18.000000
-537.601257,31.991278,-53.000000,33.000000,17.000000
-550.365906,32.082886,-51.000000,34.000000,15.000000
-514.588318,32.147236,-51.000000,31.000000,18.000000
-434.188690,32.178131,-57.000000,31.000000,14.000000
-327.252777,32.175682,-55.000000,34.000000,16.000000
-212.763748,32.145538,-51.000000,35.000000,18.000000
-102.987938,32.097271,-51.000000,34.000000,19.000000
-5.864961,32.042217,-50.000000,35.000000,16.000000
71.535461,31.991278,-51.000000,35.000000,15.000000
125.662209,31.936152,-53.000000,34.000000,15.000000
158.887558,31.896008,-54.000000,34.000000,16.000000
176.586014,31.875071,-54.000000,32.000000,17.000000
182.793457,31.874449,-54.000000,33.000000,15.000000
179.710815,31.892393,-59.000000,33.000000,13.000000
169.826614,31.924913,-52.000000,31.000000,15.000000
156.289505,31.966570,-53.000000,34.000000,16.000000
141.404663,32.011292,-55.000000,32.000000,15.000000
126.089279,32.036320,-51.000000,34.000000,15.000000
110.731628,32.050819,-53.000000,32.000000,16.000000
95.820763,32.054405,-55.000000,33.000000,14.000000
81.829323,32.048939,-56.000000,29.000000,17.000000
68.942833,32.037903,-56.000000,30.000000,16.000000
57.230835,32.025497,-52.000000,33.000000,18.000000
46.760342,32.015682,-54.000000,34.000000,15.000000
37.562061,32.011292,-52.000000,35.000000,15.000000
29.585369,31.996618,-52.000000,36.000000,12.000000
22.784395,31.985163,-53.000000,35.000000,16.000000
17.088890,31.977921,-50.000000,35.000000,19.000000
12.456389,31.975449,-54.000000,32.000000,15.000000
8.811323,31.977921,-54.000000,31.000000,16.000000
6.048801,31.985163,-53.000000,33.000000,16.000000
4.030540,31.996618,-53.000000,34.000000,14.000000
2.607498,32.011292,-55.000000,32.000000,15.000000
1.639532,31.998844,-53.000000,34.000000,15.000000
1.002868,31.989328,-53.000000,32.000000,17.000000
0.602600,31.983482,-54.000000,33.000000,16.000000
0.358613,31.981657,-52.000000,33.000000,15.000000
0.216891,31.983898,-55.000000,31.000000,12.000000
0.138187,31.989983,-52.000000,32.000000,17.000000
0.107788,31.999403,-54.000000,32.000000,17.000000
0.108637,32.011292,-55.000000,30.000000,14.000000
0.139215,31.995510,-53.000000,31.000000,15.000000
