BVP,TEMP,ACC_x,ACC_y,ACC_z
-0.000274,32.111359,3.000000,3.000000,61.000000
-0.000366,34.438366,3.000000,3.000000,61.000000
-0.000680,35.888504,3.000000,2.000000,61.000000
-0.000620,36.496159,3.000000,3.000000,61.000000
-0.001491,36.367428,3.000000,3.000000,62.000000
0.000652,35.664471,3.000000,3.000000,61.000000
0.008849,34.584297,3.000000,3.000000,62.000000
-0.029063,33.334850,3.000000,3.000000,61.000000
-0.053526,32.111359,3.000000,3.000000,61.000000
0.129399,31.058983,3.000000,3.000000,62.000000
0.658384,30.306141,4.000000,3.000000,61.000000
1.366973,29.914454,3.000000,3.000000,61.000000
2.056166,29.889965,3.000000,3.000000,61.000000
2.781866,30.189083,3.000000,3.000000,62.000000
3.792578,30.730038,3.000000,3.000000,61.000000
5.055568,31.407961,3.000000,3.000000,62.000000
6.191866,32.111359,3.000000,3.000000,62.000000
7.146308,32.720772,3.000000,3.000000,62.000000
8.308087,33.170017,3.000000,3.000000,61.000000
10.077060,33.412556,3.000000,3.000000,61.000000
11.865895,33.436787,3.000000,3.000000,60.000000
13.126775,33.263981,3.000000,3.000000,61.000000
14.616403,32.941734,3.000000,3.000000,62.000000
17.881489,32.534286,3.000000,3.000000,62.000000
22.885530,32.111359,4.000000,3.000000,62.000000
27.547089,31.720329,3.000000,3.000000,62.000000
31.655485,31.425608,3.000000,3.000000,61.000000
37.812210,31.260393,3.000000,3.000000,61.000000
48.103725,31.235943,3.000000,3.000000,61.000000
59.802261,31.342125,3.000000,3.000000,60.000000
69.560440,31.550982,3.000000,3.000000,62.000000
79.341301,31.822472,3.000000,3.000000,61.000000
93.768074,32.111359,3.000000,3.000000,62.000000
112.764267,32.357204,3.000000,3.000000,62.000000
129.801254,32.538765,4.000000,3.000000,61.000000
143.691711,32.636047,3.000000,3.000000,61.000000
158.080933,32.644100,3.000000,3.000000,61.000000
178.112778,32.572201,3.000000,3.000000,61.000000
207.235001,32.440884,3.000000,3.000000,61.000000
228.486359,32.277554,3.000000,3.000000,61.000000
208.727432,32.111359,3.000000,3.000000,62.000000
132.891159,31.951412,3.000000,3.000000,62.000000
23.147654,31.831278,3.000000,3.000000,61.000000
-92.478676,31.764383,3.000000,3.000000,61.000000
-205.344559,31.755032,3.000000,3.000000,61.000000
-313.916809,31.798769,3.000000,3.000000,61.000000
-410.113312,31.883966,3.000000,3.000000,61.000000
-486.833374,31.994257,3.000000,3.000000,61.000000
-537.602295,32.111359,3.000000,3.000000,61.000000
-550.357361,32.200878,3.000000,4.000000,62.000000
-514.551575,32.263016,3.000000,3.000000,61.000000
-434.118439,32.291946,4.000000,3.000000,62.000000
-327.114899,32.288181,4.000000,3.000000,62.000000
-212.539932,32.257759,4.000000,3.000000,61.000000
-102.656837,32.210560,3.000000,3.000000,61.000000
-5.414424,32.158115,2.000000,3.000000,62.000000
72.119789,32.111359,3.000000,3.000000,61.000000
126.390862,32.061710,3.000000,3.000000,61.000000
159.764618,32.028160,3.000000,3.000000,61.000000
177.629120,32.014519,3.000000,3.000000,61.000000
184.029205,32.021412,3.000000,3.000000,61.000000
181.169662,32.046593,3.000000,3.000000,62.000000
171.580566,32.085606,3.000000,3.000000,61.000000
158.395447,32.132645,3.000000,3.000000,62.000000
143.961914,32.181404,3.000000,2.000000,62.000000
129.213730,32.208923,3.000000,3.000000,61.000000
114.536774,32.224556,2.000000,3.000000,62.000000
100.469101,32.228176,4.000000,3.000000,62.000000
87.485161,32.222000,3.000000,3.000000,61.000000
75.794144,32.209900,4.000000,3.000000,61.000000
65.484718,32.196468,3.000000,3.000000,60.000000
56.641872,32.185963,3.000000,3.000000,61.000000
49.299061,32.181404,3.000000,3.000000,62.000000
43.436695,32.166977,3.000000,3.000000,61.000000
38.991978,32.156178,2.000000,4.000000,63.000000
35.914993,32.149803,3.000000,3.000000,62.000000
34.221897,32.148117,3.000000,2.000000,61.000000
33.857964,32.151001,3.000000,2.000000,61.000000
34.602314,32.158028,3.000000,2.000000,60.000000
35.887428,32.168499,3.000000,2.000000,60.000000
36.676167,32.181404,3.000000,2.000000,62.000000
35.637539,32.168346,3.000000,2.000000,62.000000
31.575611,32.158203,2.000000,2.000000,62.000000
24.021074,32.151783,3.000000,2.000000,62.000000
13.437028,32.149506,3.000000,2.000000,62.000000
1.305774,32.151508,3.000000,2.000000,62.000000
-10.288271,32.157715,3.000000,2.000000,61.000000
-19.409523,32.167854,3.000000,2.000000,61.000000
-24.823900,32.181404,3.000000,2.000000,61.000000
-26.279640,32.170452,3.000000,2.000000,61.000000
-24.396469,32.164322,3.000000,2.000000,61.000000
-20.307135,32.164150,3.000000,2.000000,62.000000
-15.169410,32.170475,3.000000,1.000000,62.000000
-9.807932,32.183262,3.000000,1.000000,62.000000
-4.684371,32.201916,4.000000,1.000000,63.000000
0.073459,32.225250,2.000000,1.000000,65.000000
4.670786,32.251450,7.000000,4.000000,63.000000
9.407475,32.251045,1.000000,7.000000,60.000000
14.506800,32.251682,0.000000,3.000000,70.000000
19.773613,32.252930,4.000000,11.000000,62.000000
25.101255,32.254128,-2.000000,5.000000,59.000000
30.558409,32.254692,-20.000000,-28.000000,64.000000
36.569019,32.254322,-16.000000,-1.000000,63.000000
43.292782,32.253098,-16.000000,-12.000000,56.000000
50.713043,32.251450,-20.000000,-12.000000,55.000000
59.120880,32.222935,-30.000000,-24.000000,47.000000
68.942047,32.198708,-35.000000,-27.000000,39.000000
80.470856,32.181854,-30.000000,-24.000000,49.000000
92.923630,32.174709,-24.000000,-14.000000,58.000000
105.769005,32.178638,-8.000000,-21.000000,59.000000
118.839470,32.193790,-32.000000,-16.000000,45.000000
132.285995,32.218948,-66.000000,-14.000000,38.000000
145.507950,32.251450,-56.000000,-22.000000,41.000000
156.680481,32.259758,-56.000000,-7.000000,33.000000
164.011200,32.269882,-60.000000,-11.000000,32.000000
163.399338,32.279228,-49.000000,-19.000000,32.000000
156.229721,32.285172,-50.000000,-10.000000,35.000000
146.304077,32.285667,-42.000000,-13.000000,39.000000
